,,합계,중구,중구,중구,중구,중구,중구,중구,중구,중구,중구,서구,서구,서구,서구,서구,서구,서구,서구,서구,서구,서구,서구,서구,서구,동구,동구,동구,동구,동구,동구,동구,동구,동구,동구,동구,동구,동구,영도구,영도구,영도구,영도구,영도구,영도구,영도구,영도구,영도구,영도구,영도구,영도구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,부산진구,동래구,동래구,동래구,동래구,동래구,동래구,동래구,동래구,동래구,동래구,동래구,동래구,동래구,동래구,남구,남구,남구,남구,남구,남구,남구,남구,남구,남구,남구,남구,남구,남구,남구,남구,남구,남구,북구,북구,북구,북구,북구,북구,북구,북구,북구,북구,북구,북구,북구,북구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,해운대구,사하구,사하구,사하구,사하구,사하구,사하구,사하구,사하구,사하구,사하구,사하구,사하구,사하구,사하구,사하구,사하구,사하구,금정구,금정구,금정구,금정구,금정구,금정구,금정구,금정구,금정구,금정구,금정구,금정구,금정구,금정구,금정구,금정구,금정구,강서구,강서구,강서구,강서구,강서구,강서구,강서구,강서구,강서구,연제구,연제구,연제구,연제구,연제구,연제구,연제구,연제구,연제구,연제구,연제구,연제구,연제구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,수영구,사상구,사상구,사상구,사상구,사상구,사상구,사상구,사상구,사상구,사상구,사상구,사상구,사상구,기장군,기장군,기장군,기장군,기장군,기장군
,,소계,소계,중앙동,동광동,대청동,보수동,부평동,광복동,남포동,영주1동,영주2동,소계,동대신1동,동대신2동,동대신3동,서대신1동,서대신3동,서대신4동,부민동,아미동,초장동,충무동,남부민1동,남부민2동,암남동,소계,초량1동,초량2동,초량3동,초량6동,수정1동,수정2동,수정4동,수정5동,좌천동,범일1동,범일2동,범일5동,소계,남항동,영선1동,영선2동,신선동,봉래1동,봉래2동,청학1동,청학2동,동삼1동,동삼2동,동삼3동,소계,부전1동,부전2동,연지동,초읍동,양정1동,양정2동,전포1동,전포2동,부암1동,부암3동,당감1동,당감2동,당감4동,가야1동,가야2동,개금1동,개금2동,개금3동,범천1동,범천2동,소계,수민동,복산동,명륜동,온천1동,온천2동,온천3동,사직1동,사직2동,사직3동,안락1동,안락2동,명장1동,명장2동,소계,대연1동,대연3동,대연4동,대연5동,대연6동,용호1동,용호2동,용호3동,용호4동,용당동,감만1동,감만2동,우암동,문현1동,문현2동,문현3동,문현4동,소계,구포1동,구포2동,구포3동,금곡동,화명1동,화명2동,화명3동,덕천1동,덕천2동,덕천3동,만덕1동,만덕2동,만덕3동,소계,우1동,우2동,우3동,중1동,중2동,좌1동,좌2동,좌3동,좌4동,송정동,반여1동,반여2동,반여3동,반여4동,반송1동,반송2동,재송1동,재송2동,소계,괴정1동,괴정2동,괴정3동,괴정4동,당리동,하단1동,하단2동,신평1동,신평2동,장림1동,장림2동,다대1동,다대2동,구평동,감천1동,감천2동,소계,서1동,서2동,서3동,금사동,부곡1동,부곡2동,부곡3동,부곡4동,장전1동,장전2동,선두구동,청룡노포동,남산동,구서1동,구서2동,금성동,소계,대저1동,대저2동,강동동,명지1동,명지2동,가락동,녹산동,가덕도동,소계,거제1동,거제2동,거제3동,거제4동,연산1동,연산2동,연산3동,연산4동,연산5동,연산6동,연산8동,연산9동,소계,남천1동,남천2동,수영동,망미1동,망미2동,광안1동,광안2동,광안3동,광안4동,민락동,소계,삼락동,모라1동,모라3동,덕포1동,덕포2동,괘법동,감전동,주례1동,주례2동,주례3동,학장동,엄궁동,소계,기장읍,장안읍,정관읍,일광읍,철마면
인구 (명),소계,3349556,41153,3692,2779,5887,10668,4504,1003,1057,4794,6769,106708,5360,6795,7458,15158,7559,7250,7923,6503,3944,10038,4749,8246,15725,90190,5709,5705,13079,5466,3992,9216,3572,4843,11418,11057,7614,8519,109151,10881,3809,7635,7420,6433,7427,5559,16967,28336,5488,9196,362505,15914,12098,25927,20739,19215,14547,20963,23541,23574,16589,21590,11363,10679,17401,18429,18383,10231,27115,12376,21831,272178,31065,8616,26552,24794,24489,36900,10167,25201,17115,13778,25972,13550,13979,260899,16856,36116,13564,16913,14812,43500,19740,11359,7827,8068,8770,6577,12334,11045,7979,16496,8943,275773,15666,23947,19237,35930,40235,17374,28665,12414,11340,10140,16413,26633,17779,385618,22611,30428,28781,27854,15613,17515,30995,15508,22297,9470,34640,11815,7907,14913,13571,21689,37040,22971,302947,18282,15264,11680,15278,24495,21701,25813,16222,17715,10897,26486,37597,26027,12634,17430,5426,220286,4652,8552,10467,7448,7736,17226,15204,12046,19655,26479,2132,9561,27770,18931,31489,938,148540,6074,6791,4039,54856,30324,2266,39834,4356,206853,28139,16062,9462,9722,16226,21835,10607,15618,16872,15730,13480,33100,176486,16321,13651,14180,26475,10160,25659,18828,9532,13480,28200,208794,5681,26726,9372,11938,12419,25474,12799,16685,23380,12383,27153,24784,181475,52840,9423,81607,29877,7728
인구 (명),남,1636399,20333,1961,1469,2776,5045,2115,541,710,2462,3254,51477,2583,3292,3484,7139,3437,3514,3696,3213,1972,4865,2477,4135,7670,43889,2871,2742,6432,2655,1894,4367,1746,2316,5493,5368,3810,4195,53978,5608,1859,3709,3694,3224,3613,2720,8361,13754,2845,4591,173815,7890,5977,12319,9965,8958,6706,10020,11002,11395,8092,10255,5388,5149,8793,8903,8895,4903,12962,5740,10503,131435,14980,4168,13007,11643,11782,17903,4888,12063,8452,6731,12506,6526,6786,127288,8655,17764,6562,8084,7116,20813,9550,5456,3738,4089,4476,3219,6020,5421,3988,7995,4342,135532,7831,12238,9963,17317,19600,8398,13977,6076,5640,4906,8006,12985,8595,184825,10712,14415,13589,13342,7473,8158,14285,7255,10551,4581,16988,5747,3820,7309,6804,10521,18153,11122,150934,8705,7375,5554,7474,11911,10822,12942,8456,8887,5839,13396,19000,12780,6486,8577,2730,106926,2430,4265,5190,3919,3720,8157,7217,5734,10062,12706,1135,4663,13291,8934,15034,469,79016,3395,3847,2183,27543,15128,1258,23349,2313,98788,13526,7638,4443,4734,7909,10300,5085,7460,7930,7498,6548,15717,82787,7436,6370,6740,12541,4982,11871,8711,4459,6081,13596,105007,3020,13278,4421,6056,6312,13048,6879,8445,11620,6026,13559,12343,90369,25841,5303,40597,14729,3899
인구 (명),여,1713157,20820,1731,1310,3111,5623,2389,462,347,2332,3515,55231,2777,3503,3974,8019,4122,3736,4227,3290,1972,5173,2272,4111,8055,46301,2838,2963,6647,2811,2098,4849,1826,2527,5925,5689,3804,4324,55173,5273,1950,3926,3726,3209,3814,2839,8606,14582,2643,4605,188690,8024,6121,13608,10774,10257,7841,10943,12539,12179,8497,11335,5975,5530,8608,9526,9488,5328,14153,6636,11328,140743,16085,4448,13545,13151,12707,18997,5279,13138,8663,7047,13466,7024,7193,133611,8201,18352,7002,8829,7696,22687,10190,5903,4089,3979,4294,3358,6314,5624,3991,8501,4601,140241,7835,11709,9274,18613,20635,8976,14688,6338,5700,5234,8407,13648,9184,200793,11899,16013,15192,14512,8140,9357,16710,8253,11746,4889,17652,6068,4087,7604,6767,11168,18887,11849,152013,9577,7889,6126,7804,12584,10879,12871,7766,8828,5058,13090,18597,13247,6148,8853,2696,113360,2222,4287,5277,3529,4016,9069,7987,6312,9593,13773,997,4898,14479,9997,16455,469,69524,2679,2944,1856,27313,15196,1008,16485,2043,108065,14613,8424,5019,4988,8317,11535,5522,8158,8942,8232,6932,17383,93699,8885,7281,7440,13934,5178,13788,10117,5073,7399,14604,103787,2661,13448,4951,5882,6107,12426,5920,8240,11760,6357,13594,12441,91106,26999,4120,41010,15148,3829
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
